game	yearpublished	minplayers	maxplayers	minage	minplaytime	maxplaytime	comments	description
Cosmic Encounter	1991	3	6	0	60	60	880	Players represent alien races that are seeking to spread themselves onto five foreign worlds. To accomplish this, they make challenges against other players and enlist the aid of interested parties. But alien powers, which are unique to each race, give players ways to bend or outright break some rule in the game.&#10;&#10;This is an updated version of the original Eon Cosmic Encounter (1977).&#10;&#10;Major differences between this version and the Eon version:&#10;&#10;&#10;     Flares in the Mayfair version are &quot;use once and discard&quot;, as opposed to Eon's version, which lets players reuse them.&#10;     Moons (in the More Cosmic Encounter expansion) have text written on them (instead of only a number which you used to refer to a separate list).  Moons also were divided into four categories:  Full Moons have a major effect on the game; Half Moons are more moderate in their effects; Quarter Moons have a minor effect; Cheese Moons introduce silliness to the game.&#10;     Lucre (in the More Cosmic Encounter expansion) was revamped with additional uses, and players were required to spend it to affect their challenge totals.&#10;     Mayfair introduced a new card: Reinforcements, as well as new Edicts, and several new Alien Powers with corresponding Flares.&#10;     Mayfair introduced phase / timing icons on all Powers, Flares, and Edicts to clearly indicate when each could be used.&#10;&#10;&#10;Expanded by:&#10;&#10;     More Cosmic Encounter&#10;&#10;&#10;&#10;&#10;Re-implements:&#10;&#10;     Eon's Cosmic Encounter (1977)&#10;&#10;&#10;&#10;&#10;Re-implemented by:&#10;&#10;     Simply Cosmic, Mayfair's simplified version&#10;&#10;&#10;&#10;&#10;
Coup	2012	2	6	9	15	15	22021	You are head of a family in an Italian city-state, a city run by a weak and corrupt court. You need to manipulate, bluff and bribe your way to power. Your object is to destroy the influence of all the other families, forcing them into exile. Only one family will survive...&#10;&#10;In Coup, you want to be the last player with influence in the game, with influence being represented by face-down character cards in your playing area.&#10;&#10;Each player starts the game with two coins and two influence &ndash; i.e., two face-down character cards; the fifteen card deck consists of three copies of five different characters, each with a unique set of powers:&#10;&#10;&#10;     Duke: Take three coins from the treasury. Block someone from taking foreign aid.&#10;     Assassin: Pay three coins and try to assassinate another player's character.&#10;     Contessa: Block an assassination attempt against yourself.&#10;     Captain: Take two coins from another player, or block someone from stealing coins from you.&#10;     Ambassador: Draw two character cards from the Court (the deck), choose which (if any) to exchange with your face-down characters, then return two. Block someone from stealing coins from you.&#10;&#10;&#10;On your turn, you can take any of the actions listed above, regardless of which characters you actually have in front of you, or you can take one of three other actions:&#10;&#10;&#10;     Income: Take one coin from the treasury.&#10;     Foreign aid: Take two coins from the treasury.&#10;     Coup: Pay seven coins and launch a coup against an opponent, forcing that player to lose an influence. (If you have ten coins or more, you must take this action.)&#10;&#10;&#10;When you take one of the character actions &ndash; whether actively on your turn, or defensively in response to someone else's action &ndash; that character's action automatically succeeds unless an opponent challenges you. In this case, if you can't (or don't) reveal the appropriate character, you lose an influence, turning one of your characters face-up. Face-up characters cannot be used, and if both of your characters are face-up, you're out of the game.&#10;&#10;If you do have the character in question and choose to reveal it, the opponent loses an influence, then you shuffle that character into the deck and draw a new one, perhaps getting the same character again and perhaps not.&#10;&#10;The last player to still have influence &ndash; that is, a face-down character &ndash; wins the game!&#10;&#10;A new &amp; optional character called the Inquisitor has been added (currently, the only English edition with the Inquisitor included is the Kickstarter Version from Indie Boards &amp; Cards. Copies in stores may not be the Kickstarter versions and may only be the base game). The Inquisitor character cards may be used to replace the Ambassador cards.&#10;&#10;&#10;     Inquisitor: Draw one character card from the Court deck and choose whether or not to exchange it with one of your face-down characters. OR Force an opponent to show you one of their character cards (their choice which). If you wish it, you may then force them to draw a new card from the Court deck. They then shuffle the old card into the Court deck. Block someone from stealing coins from you.&#10;&#10;&#10;
Crude: The Oil Game	1974	2	4	13	90	90	961	In Crude: The Oil Game, players take on the role of oil company CEOs, seeking to expand their companies into multi-national energy mega-corporations.  Just as with real world energy companies, player will setup facilities for oil drilling, oil pumping, oil refining into gasoline, and gasoline selling to the consumer... all of which are represented by actual plastic pieces placed on the board!  Players also speculate by buying and selling oil and gasoline barrels in both the domestic and foreign markets... again represented by actual plastic barrels in their playing area!&#10;&#10;However, the changing economic climate, as well as sudden world news events, will challenge players to keep a long-term strategic view of the world energy markets.  The first player to reach a corporation value of $750 million is the winner!&#10;&#10;Crude: The Oil Game is not only a great simulation of the global oil markets, but with almost 300 plastic playing pieces, it is a sight to behold!  Known as McMulti when it was printed in Europe almost 25 years ago, this great game is finally back in print after many years!&#10;&#10;Brought back into print in 2012 by Stronghold Games, Crude: The Oil Game has been a highly sought-after (&quot;Grail&quot;) game. This is an early Euro-style game &ndash; before Euro-style existed! &ndash; which accurately simulates the market forces and elements of the oil and gasoline markets at all levels of production, including oil drilling, oil pumping, oil and gasoline buying and selling in the domestic and foreign markets, oil refining, and finally gasoline selling to the consumer.&#10;&#10;
Damage Report	2014	2	6	10	45	45	222	Damage Report is a modular, 2-6 player, simultaneous, real-time, co-operative game where the players take on the role of a starship crew faced with making split-second decisions to survive while in the midst of various catastrophes. Unlike many co-operative games, the simultaneous, real-time nature of the game helps prevent groupthink. This forces players to make decisions with minimal feedback and prevents one player from simply running the show. Your turn never ends, and is only limited to what you can accomplish in 15, 30, 45 or 60 second intervals.&#10;&#10;Each player uses a timer to keep track of their time, moving the timer down a track based upon how long their turn interval is. In most scenarios, the turn interval is based upon the Life Support system status: the more damaged the system is, the less air the player has to &quot;breathe&quot;, thus each turn is extended, as it takes more time to complete their actions.&#10;&#10;The modular board pieces in Damage Report ensure a brand new experience with each game scenario. Each scenario has their own 'success' and 'failure' conditions. The Standard Edition of the game includes three scenarios, however a number of additional scenarios will available as expansions. This will include a 7-10 player expansion.&#10;&#10;
Dawn of the Zeds (First edition)	2011	1	1	13	45	45	130	THE BATTLE FOR FARMINGDALE&#10;&#10;States of SiegeTM #9&#10;&#10;Voted #1 on The Gaming Gang's Top 10 Games of 2011!&#10;&#10;Arising once again from the grave, from designer Hermann Luttmann and lavishly illustrated by Vinh Ha, arises Dawn of the Zeds Second Edition as you've never seen it before. In this States of Siege&trade; solitaire game of horror and survival, your strategies will be put to the test. The world has gone crazy &ndash; a deadly virus has turned ordinary people into vicious, zombie-like killers. The undead, nicknamed &quot;Zeds,&quot; are now converging on your corner of the world. You have been left to your own devices to stop them while the National Guard organizes a relief column and fights its way to you &ndash; but that could take days, or even weeks, before they arrive.&#10;&#10;At the town of Farmingdale and its surrounding villages, you must coordinate its defenses. Regular citizens may emerge as heroes as you work to halt the Zeds' advances by (re)killing them, discovering and implementing a cure to this vile scourge, and preserving the area and its inhabitants as much as possible. In addition to this madness, the crazy Doctor Marteuse has been working in the underground tunnels and unleashing his uber-deadly Super Zeds, a nasty bunch of beasts that give havoc a whole new name. Bring him to justice, destroy the infectious Zeds, and save your city from peril!&#10;&#10;In a game that requires the utmost test of skill and nerve, will you survive long enough? Will you be able to fight hordes of Zeds while protecting the townspeople? Test your heroics and unearth Dawn of the Zeds, a game that will keep you on your toes!&#10;&#10;&#10;&#10;&#10;L'Aube des Morts-Vivants, un jeu en solitaire d'horreur et de survie de la s&eacute;rie &quot;State of Siege&quot;TM con&ccedil;u par Hermann Luttmann, surgit comme une main sortant de ma tombe.&#10;&#10;Le monde est devenu fou, un virus mortel a transform&eacute; les gens ordinaires en zombies tueurs et vicieux. Ces Morts-Vivants surnomm&eacute;s Zeds, convergent maintenant vers notre petit coin de paradis ! Vous avez &eacute;t&eacute; laiss&eacute; &agrave; vous m&ecirc;me pour les arr&ecirc;ter et pr&eacute;server votre communaut&eacute; alors que la colonne de secours de la Garde Nationale se bat pour vous rejoindre; mais cela pourra prendre des jours, voire des semaines, avant qu'ils n'arrivent. Vous devez prendre la t&ecirc;te de vos administr&eacute;s assi&eacute;g&eacute;s !&#10;&#10;Des citoyens deviennent des h&eacute;ros alors que vous oeuvrez pour arr&ecirc;ter l'avanc&eacute;e des Zeds en les re-tuant, en d&eacute;couvrant et administrant un rem&egrave;de &agrave; cette terrible &eacute;pid&eacute;mie afin de pr&eacute;server votre secteur et ses habitants autant que possible.&#10;&#10;Dans un jeu qui requiert un sang-froid et des nerfs &agrave; toute &eacute;preuve, survivrez-vous assez longtemps ?&#10;Serez-vous capable de combattre les hordes de Zeds tout en prot&eacute;geant votre population ?&#10;D&eacute;couvrez toutes les possibilit&eacute;s de l'Aube des Morts-Vivants, un cauchemar qui d&eacute;terminera si votre destin est de devenir un h&eacute;ros ou de terminer en casse-dalle !&#10;&#10;
Dead of Winter: A Crossroads Game	2014	2	5	14	45	210	24377	Game description from the publisher:&#10;&#10;&quot;Crossroads&quot; is a new series from Plaid Hat Games that tests a group of survivors' ability to work together and stay alive while facing crises and challenges from both outside and inside.&#10;&#10;Dead of Winter: A Crossroads Game, the first game in this series, puts 2-5 players in a small, weakened colony of survivors in a world where most of humanity is either dead or diseased, flesh-craving monsters. Each player leads a faction of survivors with dozens of different characters in the game.&#10;&#10;Dead of Winter is a meta-cooperative psychological survival game. This means players are working together toward one common victory condition &mdash; but for each individual player to achieve victory, he must also complete his personal secret objective. This secret objective could relate to a psychological tick that's fairly harmless to most others in the colony, a dangerous obsession that could put the main objective at risk, a desire for sabotage of the main mission, or (worst of all) vengeance against the colony! Certain games could end with all players winning, some winning and some losing, or all players losing. Work toward the group's goal, but don't get walked all over by a loudmouth who's looking out only for his own interests!&#10;&#10;Dead of Winter is an experience that can be accomplished only through the medium of tabletop games. It's a story-centric game about surviving through a harsh winter in an apocalyptic world. The survivors are all dealing with their own psychological imperatives, but must still find a way to work together to fight off outside threats, resolve crises, find food and supplies, and keep the colony's morale up.&#10;&#10;Dead of Winter has players making frequent, difficult, heavily- thematic, wildly-varying decisions that often have them deciding between what is best for the colony and what is best for themselves.&#10;&#10;
Deep Sea Adventure	2014	2	6	8	30	30	3077	From the rulebook:&#10;&#10;A group of poor explorers hoping to get rich quickly heads out to recover treasures from some undersea ruins. They're all rivals, but their budgets force them all to share a single rented submarine. In the rented submarine, they all have to share a single tank of air, as well. If they don't get back to the sub before they run out of air, they'll drop all their treasure. Now it's time to see who can bring home the greatest riches.&#10;&#10;Game Objective&#10;The game takes place over 3 rounds, and the player to gain the most points over the 3 rounds is the winner. In order to gain points, you must bring the most ruins chips back to the submarine. You can only return to the submarine once per round, and you cannot progress more after returning. You cannot return to the submarine without bringing any ruins chips.&#10;&#10;Turn Progression&#10;On their turns, players conduct steps 1-4 listed below. Players take turns, going clockwise around the board, and the round ends when all players have returned to the submarine, or if the air runs out at the beginning of someone's turn.&#10;&#10;1) Declare if you will turn back or not.&#10;2) Reduce air.&#10;3) Roll the dice and advance your game piece.&#10;4) Search. (When you have stopped moving, select one of A-C below)&#10;     A) Do nothing.&#10;     B) Pick up ruins chip.&#10;     C) Place a ruins chip.&#10;&#10;
Diplomacy	1959	2	7	12	360	360	10108	This classic game of pure negotiation has taken many forms over the years.&#10;&#10;The first The Avalon Hill Game Co version has perhaps the widest release, but Avalon Hill Games, Inc. re-released the game in 1999, complete with a colorful new map and metal pieces.  In 2008, Avalon Hill released a 50th anniversary edition with a new map and cardboard pieces representing the armies and navies.&#10;&#10;In the game, players represent one of the seven &quot;Great Powers of Europe&quot; (Great Britain, France, Austria-Hungary, Germany, Italy, Russia or Turkey) in the years prior to World War I. Play begins in the Spring of 1901, and players make both Spring and Autumn moves each year. There are only two kinds of military units: armies and fleets. On any given turn, each of your military units has limited options: they can move into an adjoining territory, support an allied unit in an attack on an adjoining territory, support an allied unit in defending an adjoining territory, or hold their position. Players instruct each of their units by writing a set of &quot;orders.&quot; The outcome of each turn is determined by the rules of the game. There are no dice rolls or other elements of chance. With its incredibly simplistic movement mechanics fused to a significant negotiation element, this system is highly respected by many gamers.&#10;&#10;Avalon Hill Complexity rating - 3&#10;&#10;Re-implemented by:&#10;&#10;    Colonial Diplomacy&#10;    Diplomacy: Classical Variant&#10;    Diplomacy: Hundred Variant&#10;&#10;&#10;&#10;&#10;
Dune: Spice Harvest	1984	3	6	14	30	30	209	A Junta-like pre-game expansion for the Avalon Hill Dune. The main effect on play is to change the starting setups and spice allocations.&#10;&#10;Expands:&#10;&#10;    Dune&#10;&#10;&#10;&#10;&#10;
Dungeon Fighter	2011	1	6	14	45	45	4109	Explore spooky dungeons, find glorious treasure, buy powerful magic items, and challenge the most horrible creatures. Will your party be able to defeat the final boss?&#10;&#10;In Dungeon Fighter, a fully cooperative board game, players take on the roles of heroes venturing deep into a three-tier dungeon. Along the way, they explore the dungeon, search its many rooms, and face endless hordes of vicious monsters. Best of all, your skill determines the ability of your character. Can you kill Medusa without looking into her eyes, defeat the Minotaur in the labyrinth, or resist the breath of the dragon? Will you be able to hit a target by throwing the dice under your leg with your eyes closed?&#10;&#10;You will feel truly part of a centuries-old battle between good and evil...with a touch of foolish stupidity.&#10;&#10;
Eclipse	2011	2	6	14	60	200	20921	The galaxy has been a peaceful place for many years. After the ruthless Terran&ndash;Hegemony War (30.027&ndash;33.364), much effort has been employed by all major spacefaring species to prevent the terrifying events from repeating themselves. The Galactic Council was formed to enforce precious peace, and it has taken many courageous efforts to prevent the escalation of malicious acts. Nevertheless, tension and discord are growing among the seven major species and in the Council itself. Old alliances are shattering, and hasty diplomatic treaties are made in secrecy. A confrontation of the superpowers seems inevitable &ndash; only the outcome of the galactic conflict remains to be seen. Which faction will emerge victorious and lead the galaxy under its rule?&#10;&#10;A game of Eclipse places you in control of a vast interstellar civilization, competing for success with its rivals. You will explore new star systems, research technologies, and build spaceships with which to wage war. There are many potential paths to victory, so you need to plan your strategy according to the strengths and weaknesses of your species, while paying attention to the other civilizations' endeavors.&#10;&#10;The shadows of the great civilizations are about to eclipse the galaxy. Lead your people to victory!&#10;&#10;
Elder Sign	2011	1	8	13	90	90	15929	Game description from the publisher:&#10;&#10;It is 1926, and the museum's extensive collection of exotic curios and occult artifacts poses a threat to the barriers between our world and the elder evils lurking between dimensions. Gates to the beyond begin to leak open, and terrifying creatures of increasing strength steal through them. Animals, the mad, and those of more susceptible minds are driven to desperation by the supernatural forces the portals unleash. Only a handful of investigators race against time to locate the eldritch symbols necessary to seal the portals forever. Only they can stop the Ancient One beyond from finding its way to Earth and reducing humanity to cinders.&#10;&#10;Elder Sign is a fast-paced, cooperative dice game of supernatural intrigue for one to eight players by Richard Launius and Kevin Wilson, the designers of Arkham Horror. Players take the roles of investigators racing against time to stave off the imminent return of the Ancient One. Armed with tools, allies, and occult knowledge, investigators must put their sanity and stamina to the test as they adventure to locate Elder Signs, the eldritch symbols used to seal away the Ancient Ones and win the game.&#10;&#10;To locate Elder Signs, investigators must successfully endure Adventures within the museum and its environs. A countdown mechanism makes an Ancient One appear if the investigators are not quick enough. The investigators must then battle the Ancient One. A clever and thematic dice mechanism pits their exploration against monsters and the sheer difficulty of staying sane and healthy, all within the standard game duration of one to two hours.&#10;&#10;
Empires of the Void	2012	2	4	12	120	120	605	The galaxy is at war.  The Pyrious Empire is struggling to mantain power, and a few young alien races see this as a golden opportunity to expand their horizons.  But who will join them in the imminent struggle to become the next galactic superpower?&#10;&#10;In Empires of the Void, two to four players compete to expand their empire in a vast, diverse galaxy.  Each time a player reaches a new planet, he must decide whether to conquer it and strip the land of its resources, or befriend the natives and obtain their special ability.  With 7 starting alien races to choose from, and 15 more to conquer or befriend on a variable board, no two games will be the same.&#10;&#10;The game uses an action point system and exciting dice-rolling combat with plenty of tactical decision making (similar to Nexus Ops). There are 19 technologies to research that break the rules and change gameplay. Players must use negotiation and trade, even when it is not their turn, which ensures that there is very little downtime. A random event deck helps build the story of the game, as each round something new happens, usually galaxy-wide. A game lasts around 2 to 3 hours and has intuitive rules which are easy to teach.&#10;&#10;
Escape the Nightmare	2016	3	7	12	1	15	58	A challenging fifty four card cooperative real time trading game (With optional singing).&#10;&#10;You play as a group of friends inhabiting a shared nightmare. Your hand consists of nightmarish aspects and you goal is to trade these with your friends. If someone can get a collection of similar aspects then they can master that part of the nightmare and contribute to your eventual escape - however each card that you receive in trade can force you to undertake certain actions, restrict who you trade with or limit how you can communicate. To make matters worse something is chasing you through the nightmare and you have to trade its card every ten seconds or be devoured. It's coming. Run.&#10;&#10;During set-up players choose a collection of nightmare types based on the number of players. This choice allows a group to include or exclude certain mechanics - so whether your nightmare will be an all singing all dancing nightmare is down to the exuberance of the players rather than luck of the draw.&#10;&#10;Escape the Nightmare is a challenging experience, with the average group losing a fair few games before their first victory. However the play time is quick and resetting for another go takes seconds. There are six difficulty levels to make the game accessible for groups of any level of skill and selecting different types of nightmare allows players to set the tone of their game to suit their preferences.&#10;&#10;
Escape: The Curse of the Temple	2012	1	5	8	10	10	11906	Escape: The Curse of the Temple is a cooperative game in which players must escape (yes...) from a temple (yes...) which is cursed (yes...) before the temple collapses and kills one or more explorers, thereby causing everyone to lose.&#10;&#10;The initial game board consists of a row of three square tiles, each showing a combination of two symbols, say, two green adventurers or one green adventurer and one blue key in one corner of the tile. All of the explorers start in the center tile &ndash; the safe room &ndash; and each player starts with a hand of five dice. Each die has five symbols:&#10;&#10;&#10;    A cursed mask &ndash; this die is set aside when rolled.&#10;    A golden mask &ndash; each such symbol counteracts two cursed masks, either your own or those of another explorer in the same room.&#10;    A red torch or blue key &ndash; these are used to enter rooms, access treasure, or activate gems.&#10;    A green adventurer, which appears twice on the die &ndash; you need these to move from room to room, and to activate some gems.&#10;&#10;&#10;Escape is played in real-time, with all players rolling dice and taking actions simultaneously. You must roll the right symbols to enter a room, and if you're at an open doorway, you can roll to reveal the next tile in the stack and add it to that doorway. Some rooms contain combinations of red and blue symbols, and if you (possibly working with other players in the same room) roll enough red or blue symbols, you &quot;discover&quot; magic gems, moving them from a separate gem depot onto that tile.&#10;&#10;The real-time aspect is enforced by a soundtrack to be played during the game. At certain points, a countdown starts, and if players aren't back in the safe room when time is up, they lose one of their dice.&#10;&#10;Once the exit tile is revealed, players can attempt to escape the temple by moving to that tile, then rolling a number of blue dice equal to the magic gems that haven't been removed from the gem depot. Thus, the more gems you find, the easier it is to escape the temple. When a player escapes, he gives one die to a player of his choice. If all players escape before the third countdown, everyone wins; if not, everyone loses, no matter how many players did escape.&#10;&#10;Escape: The Curse of the Temple includes two expansion modules that can be used individually or together. With the &quot;Treasures&quot; module, some rooms contain treasure, and when you reveal such a room, you place a face-down treasure chest on the tile. Roll the symbols on that chest tile, and you claim the treasure for use later: a key lets you teleport anywhere, a path lets you connect two rooms that otherwise have no door between them, and a medic kit heals all players instantly (putting black dice back into play). With the &quot;Curses&quot; module, some tiles &quot;curse&quot; players by forcing them to place one hand on their head, keep mute during play, or otherwise do what you wouldn't want to do while escaping a temple!&#10;&#10;
Evo	2001	3	5	14	60	60	4164	217,453,883 years, seven months and 26 days before our time, the first dinosaurs left their home in the sea and climbed onto the land. The ever-changing climate was their first adversary, forcing them to remain constantly on the move. But weather was not their only problem. In order to survive and flourish, they had to evolve, and to do it quickly!&#10;&#10;In Evo, you control the survival and evolution of a species of dinosaurs called Dinos. You guide their migrations to temperate climates, you acquire the perfect genes to develop your Dinos and mutate them, and you push out other creatures that have yet to learn the meaning of the term &quot;dominant species&quot;. At the end of the game, you and your Dinos will not be the winners unless you've evolved more quickly and successfully than everyone else.&#10;&#10;Each turn is divided into six phases, in which Dinos move, fight, reproduce and evolve to ensure that their species has the characteristics to survive the various perils of  prehistoric life. Players earn and spend mutation points to adapt their species for survival &ndash; but don't spend all of them as the remainder are counted to determine the winner.&#10;&#10;With every round of play a meteor moves one step closer to earth. When the meteor strikes (determined partly by dice), the game ends!&#10;&#10;
Evolution	2014	2	6	12	50	70	7578	In Evolution, players adapt their species in a dynamic ecosystem where food is scarce and predators lurk.  Traits like Hard Shell and Horns will protect your species from Carnivores, while a Long Neck will help them get food that others cannot reach. With over 4,000 ways to evolve your species, every game becomes a different adventure.&#10;&#10;Evolution packs a surprising amount of variety for a game with simple rules.  The variety comes from the synergies between the trait cards and from the different personalities at the table.  Some players thrive on creating Carnivores to wreak havoc on their fellow players.  Others prefer to stay protected and mind their own business.  Evolution encourages both play styles by giving each of them multiple paths to victory.  And it is the mix of play styles at the table that ultimately determines the ecosystem in which the players are adapting.  So gather your friends and see who can best adapt to the changing world around them.&#10;&#10;&quot;The theme of evolution is not just tacked on: it drives play.&quot; - Nature (the world's most prestigious scientific journal)  &#10;Evolution was covered in the journal Nature.  The article was written by Stuart West, a Professor of Evolutionary Biology at the University of Oxford who has used Evolution in his undergraduate class.  &#10;&#10;     https://boardgamegeek.com/thread/1487263/evolution-and-other-evolution-themed-games-nature&#10;     https://boardgamegeek.com/thread/1580710/using-game-evolution-teach-evolution&#10;&#10;&#10;&#10;&#10;
Exodus: Proxima Centauri	2012	2	6	14	180	180	1197	After a devastating nuclear war, six human factions are seeking shelter in the Centauri system. On the verge of extinction, the humans are saved by a superior civilization, allegedly the Centaurians, and each faction is given a fresh start on a new planet. Thus the exodus of humanity seems to have ended on the planets orbiting the star called Proxima Centauri. When the Centaurians announce their departure, the struggle for power commences once again.&#10;&#10;In Exodus: Proxima Centauri, the six factions fight for dominance in an epic empire-building game, striving to build a new human empire on the ashes of the Centaurian civilization. Each player will build his own space fleet of customized ships and conquer new planets, fight the Centaurian Resistance and the other players, negotiate and vote for political decisions, research Centaurian technologies, and much more.&#10;&#10;
The Expanse Board Game	2017	2	4	0	45	75	2	The Expanse, a board game based on the Syfy television series of the same name, focuses on politics, conquest and intrigue similar to the board game Twilight Struggle, although with a shorter playing time. The card-driven game uses key images from the show, along with action points and events that allow players to move and place &quot;Fleets&quot; and &quot;Influence&quot;.&#10;&#10;In more detail, players represent Earth's UN forces, the military of Mars, the rebels of the O.P.A., and the mysterious corporation Protogen Inc. Each player has special abilities that must be maneuvered to gain advantage. Players increase their control over the solar system using characters and events from the universe of The Expanse.&#10;&#10;
Explorers of the North Sea	2016	1	4	12	45	60	414	Explorers of the North Sea is set in the latter years of the Viking Age. As ambitious sea captains, players seek out new lands to settle and control. They will need to transport their crew among the newly discovered islands to capture livestock, construct outposts and fulfill various other goals. So ready the longships, there are new horizons to explore!&#10;&#10;&#10;Gameplay Overview&#10;Each player starts with 7 Vikings and a Longboat on a shared, central Island. From there players will place tiles and begin to venture out to the newly discovered Islands.&#10;Proceeding clockwise from the starting player, each player takes their turn in full. On their turn, players first place 1 of their 3 tiles, expanding the game board. They can then take up to 4 actions (any number of the following):&#10;&#10;1. Load Longship&#10;2. Unload Longship + Deliver Livestock&#10;3. Move Longship + Destroy an Enemy Ship&#10;4. Move Vikings + Raid a Settlement&#10;5. Transport Livestock&#10;6. Construct an Outpost (costs 2 actions)&#10;&#10;After taking their actions, players draw a new tile to their hand, ending their turn.&#10;&#10;End of the Game&#10;The game ends immediately after the turn where the player holding the Winter Token has no more Tiles in hand. This should be exactly 48 turns (there are 48 Tiles). Victory Points are gained from:&#10;&#10;1. Delivered Livestock&#10;2. Constructed Outposts&#10;3. Destroyed Enemy Ships&#10;4. Raided Settlements&#10;5. Viking Deaths&#10;6. Controlled Islands&#10;7. Captain Cards&#10;&#10;The player with the highest total is the winner!&#10;&#10;
A Fake Artist Goes to New York	2012	5	10	8	20	20	1219	&#227;&#130;&#168;&#227;&#130;&#187;&#232;&#138;&#184;&#232;&#161;&#147;&#229;&#174;&#182;&#227;&#131;&#139;&#227;&#131;&#165;&#227;&#131;&#188;&#227;&#131;&#168;&#227;&#131;&#188;&#227;&#130;&#175;&#227;&#129;&#184;&#232;&#161;&#140;&#227;&#129;&#143; &ndash; which is pronounced as &quot;Ese Geijutsuka New York e Iku&quot; and can be translated as Fake Artist Goes to New York &ndash; is a party game for 5-10 players. Players take turns being the Question Master, whose role is to set a category, write a word within that category on dry erase cards, and hand those out to other players as artists. At the same time, one player will have only an &quot;X&quot; written on his card. He is the fake artist!&#10;&#10;Players will then go around the table twice, drawing one contiguous stroke each on a paper to draw the word established by the Question Master, then guess who the fake artist is. If the fake artist is not caught, both the fake artist and the Question Master earn points; if the fake artist is caught and cannot guess what the word is, the artists earn points.&#10;&#10;
Firefly: The Game	2013	1	5	13	120	240	7242	Players begin with a ship, and travel from planet to planet, hiring crew, purchasing ship upgrades, and picking up cargo to deliver (jobs) all in the form of cards. Some crew and cargo are illegal, and can be confiscated if your ship is boarded by an alliance vessel. Travelling from planet to planet requires turning over &quot;full burn&quot; cards, one for each space moved. Most do nothing, but you can also encounter an Alliance ship, have a breakdown, or even run into Reavers. Completing jobs gets you cash. First player to complete the story goals wins.&#10;&#10;Game description from the publisher:&#10;&#10;In Firefly: The Game &ndash; based on the popular Firefly television series created by Joss Whedon &ndash; players captain their own Firefly-class transport ship, traveling the 'Verse with a handpicked crew of fighters, mechanics and other travelers. As a captain desperate for work, players are compelled to take on any job &mdash; so long as it pays. Double-dealing employers, heavy-handed Alliance patrols, and marauding Reavers are all in a day's work for a ship's captain at the edge of the 'Verse. Firefly: The Game is a high-end thematic tabletop boardgame from Gale Force Nine (GF9) and the first in a series of tabletop hobby board games and miniatures games from GF9 set in the Firefly Universe.&#10;&#10;
Flash Point: Fire Rescue	2011	1	6	10	45	45	14290	The call comes in... &quot;911, what is your emergency?&quot;  On the other end is a panicked response of &quot;FIRE!&quot; Moments later you don the protective suits that will keep you alive, gather your equipment and rush to the scene of a blazing inferno. The team has only seconds to assess the situation and devise a plan of attack &ndash; then you spring into action like the trained professionals that you are. You must face your fears, never give up, and above all else work as a team because the fire is raging, the building is threatening to collapse, and lives are in danger.&#10;&#10;You must succeed. You are the brave men and women of fire rescue; people are depending on you. This is what you do every day.&#10;&#10;Flash Point: Fire Rescue is a cooperative game of fire rescue.&#10;&#10;There are two versions of game play in Flash Point, a basic game and expert game.&#10;In both variants, players are attempting to rescue 7 of 10 victims from a raging building fire.&#10;As the players attempt to rescue the victims, the fire spreads to other parts of the building, causing structural damage and possibly blocking off pathways through the building.  Each turn a player may spend action points to try to extinguish fires, move through the building, move victims out of the building or perform various special actions such as moving emergency vehicles.  If 4 victims perish in the blaze or the building collapses from taking too much structural damage, the players lose.  Otherwise, the players win instantly when they rescue a 7th victim.&#10;&#10;The expert variant included in the game adds thematic elements such as flash over, combustible materials, random setup, and variations on game difficulty from novice to heroic.  The game includes a double sided board with two different building plans and several expansion maps are available.&#10;&#10;
Food Chain Magnate	2015	2	5	14	120	240	5571	&quot;Lemonade? They want lemonade? What is the world coming to? I want commercials for burgers on all channels, every 15 minutes. We are the Home of the Original Burger, not a hippie health haven. And place a billboard next to that new house on the corner. I want them craving beer every second they sit in their posh new garden.&quot; The new management trainee trembles in front of the CEO and tries to politely point out that... &quot;How do you mean, we don't have enough staff? The HR director reports to you. Hire more people! Train them! But whatever you do, don't pay them any real wages. I did not go into business to become poor. And fire that discount manager, she is only costing me money. From now on, we'll sell gourmet burgers. Same crap, double the price. Get my marketing director in here!&quot;&#10;&#10;Food Chain Magnate is a heavy strategy game about building a fast food chain. The focus is on building your company using a card-driven (human) resource management system. Players compete on a variable city map through purchasing, marketing and sales, and on a job market for key staff members. The game can be played by 2-5 serious gamers in 2-4 hours.&#10;&#10;
